COUNTRY,INDICATOR,FREQUENCY,SCALE,year,value
France,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2023,1.116
France,"Gross debt, General government, Percent of GDP",Annual,Units,2023,109.733
France,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2023,-3.721
France,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2023,-0.995
France,"Expenditure, General government, Percent of GDP",Annual,Units,2023,56.912
Germany,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2023,6.03
Germany,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2023,5.562
Germany,Unemployment rate,Annual,Units,2023,3.025
Germany,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2023,-0.264
India,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2023,-0.716
India,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2023,9.191
India,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2023,5.361
Italy,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2023,0.715
Italy,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2023,5.903
Italy,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2023,0.138
Italy,Unemployment rate,Annual,Units,2023,7.683
Japan,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2023,-2.048
Japan,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2023,3.762
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2023,3.269
Japan,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2023,1.486
Japan,"Expenditure, General government, Percent of GDP",Annual,Units,2023,39.098
Japan,"Gross debt, General government, Percent of GDP",Annual,Units,2023,239.971
Japan,Unemployment rate,Annual,Units,2023,2.575
South Africa,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2023,5.903
South Africa,Unemployment rate,Annual,Units,2023,33.1
South Africa,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2023,-1.596
South Africa,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2023,0.698
"Türkiye, Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2023,53.859
"Türkiye, Republic of","Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2023,5.111
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2023,-3.529
"Türkiye, Republic of",Unemployment rate,Annual,Units,2023,9.4
United Kingdom,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2023,-3.509
United Kingdom,"Expenditure, General government, Percent of GDP",Annual,Units,2023,44.829
United Kingdom,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2023,-3.65
United Kingdom,Unemployment rate,Annual,Units,2023,4.05
United Kingdom,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2023,0.397
United Kingdom,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2023,7.303
United States,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2023,2.887
United States,Unemployment rate,Annual,Units,2023,3.633
United States,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2023,4.128
United States,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2023,-3.266
France,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2023,5.663
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2023,5.377
United Kingdom,"Gross debt, General government, Percent of GDP",Annual,Units,2023,100.354
India,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2023,-2.985
India,"Gross debt, General government, Percent of GDP",Annual,Units,2023,81.231
Myanmar,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2023,-2.821
Brazil,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2023,4.594
Myanmar,"Expenditure, General government, Percent of GDP",Annual,Units,2024,20.55
Sri Lanka,"Gross debt, General government, Percent of GDP",Annual,Units,2024,99.434
Russian Federation,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2024,8.444
Russian Federation,"Gross debt, General government, Percent of GDP",Annual,Units,2024,20.303
Sri Lanka,"Expenditure, General government, Percent of GDP",Annual,Units,2024,19.323
Bangladesh,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2024,4.223
Bangladesh,"Gross debt, General government, Percent of GDP",Annual,Units,2024,40.126
Bangladesh,Unemployment rate,Annual,Units,2024,
Bangladesh,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2024,-1.492
Sri Lanka,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2024,1.242
Brazil,Unemployment rate,Annual,Units,2024,6.925
Brazil,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2024,-0.335
Brazil,"Gross debt, General government, Percent of GDP",Annual,Units,2024,87.284
Brazil,"Expenditure, General government, Percent of GDP",Annual,Units,2024,45.459
"China, People's Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2024,0.212
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2024,2.261
Myanmar,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2024,-1.122
"China, People's Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2024,88.327
"China, People's Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2024,-6.389
"China, People's Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2024,32.948
"China, People's Republic of",Unemployment rate,Annual,Units,2024,5.117
United States,"Gross debt, General government, Percent of GDP",Annual,Units,2024,120.786
Germany,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2024,-1.903
Germany,"Expenditure, General government, Percent of GDP",Annual,Units,2024,49.512
Germany,"Gross debt, General government, Percent of GDP",Annual,Units,2024,63.888
India,"Expenditure, General government, Percent of GDP",Annual,Units,2024,28.274
India,Unemployment rate,Annual,Units,2024,4.939
Italy,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2024,0.293
Italy,"Gross debt, General government, Percent of GDP",Annual,Units,2024,135.286
Italy,"Expenditure, General government, Percent of GDP",Annual,Units,2024,50.562
Myanmar,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2024,-1.189
Myanmar,Unemployment rate,Annual,Units,2024,
Myanmar,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2024,26.5
Myanmar,"Gross debt, General government, Percent of GDP",Annual,Units,2024,61.295
Russian Federation,Unemployment rate,Annual,Units,2024,2.516
Russian Federation,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2024,-1.54
Russian Federation,"Expenditure, General government, Percent of GDP",Annual,Units,2024,38.247
Russian Federation,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2024,2.882
Russian Federation,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2024,4.1
Sri Lanka,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2024,1.764
South Africa,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2024,-0.717
Sri Lanka,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2024,2.173
Sri Lanka,Unemployment rate,Annual,Units,2024,4.75
Sri Lanka,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2024,5.009
South Africa,"Expenditure, General government, Percent of GDP",Annual,Units,2024,33.193
South Africa,"Gross debt, General government, Percent of GDP",Annual,Units,2024,76.356
"Türkiye, Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2024,25.971
"Türkiye, Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2024,-3.062
"Türkiye, Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2024,33.949
United States,"Expenditure, General government, Percent of GDP",Annual,Units,2024,37.593
United States,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2024,-3.564
Bangladesh,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2024,9.73
Bangladesh,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2024,-1.444
Bangladesh,"Expenditure, General government, Percent of GDP",Annual,Units,2024,12.061
Brazil,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2024,-2.818
Brazil,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2024,3.396
France,Unemployment rate,Annual,Units,2024,7.383
France,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2024,1.067
France,"Gross debt, General government, Percent of GDP",Annual,Units,2024,113.105
France,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2024,-3.939
France,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2024,0.396
France,"Expenditure, General government, Percent of GDP",Annual,Units,2024,57.159
Germany,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2024,2.489
Germany,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2024,5.729
Germany,Unemployment rate,Annual,Units,2024,3.408
Germany,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2024,-0.232
India,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2024,-0.793
India,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2024,6.46
India,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2024,4.668
Italy,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2024,0.726
Italy,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2024,1.089
Italy,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2024,1.13
Italy,Unemployment rate,Annual,Units,2024,6.558
Japan,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2024,-2.095
Japan,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2024,4.793
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2024,2.739
Japan,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2024,0.084
Japan,"Expenditure, General government, Percent of GDP",Annual,Units,2024,39.402
Japan,"Gross debt, General government, Percent of GDP",Annual,Units,2024,236.66
Japan,Unemployment rate,Annual,Units,2024,2.567
South Africa,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2024,4.426
South Africa,Unemployment rate,Annual,Units,2024,32.8
South Africa,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2024,-0.644
South Africa,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2024,0.58
"Türkiye, Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2024,58.506
"Türkiye, Republic of","Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2024,3.184
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2024,-0.758
"Türkiye, Republic of",Unemployment rate,Annual,Units,2024,8.7
United Kingdom,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2024,-3.366
United Kingdom,"Expenditure, General government, Percent of GDP",Annual,Units,2024,44.04
